"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29837","@WAvi EndToEndProject","","Thu Nov 27 13:14:12 IST 2025","passed","Thu Nov 27 13:14:42 IST 2025","","EndToEndAutomation.spec.js","",""
"","2494","@WebAvi Handle dialog, frame, hover","","Fri Nov 21 20:10:36 IST 2025","passed","Fri Nov 21 20:10:38 IST 2025","","EndToEndAutoUnique.spec.js","",""
